Institute,Gender,Year,Academic_Program_Name,Closing_Rank,Opening_Rank,Seat,Disability
9,0,2016,56,1835,894,3,0
10,0,2016,10,1360,1114,1,0
10,0,2016,52,6869,5248,0,0
11,0,2016,9,2744,2555,1,0
11,0,2016,10,2101,1340,1,0
11,0,2016,0,53,53,1,1
12,0,2016,84,1084,850,2,0
12,0,2016,2,482,294,0,0
12,0,2016,33,1353,976,3,0
12,0,2016,57,1078,1054,2,0
13,0,2016,82,412,412,2,0
13,0,2016,9,2913,2395,1,0
13,0,2016,1,1517,1018,3,0
13,0,2016,2,835,292,3,0
13,0,2016,58,875,665,2,0
13,0,2016,72,3624,2898,1,0
4,0,2016,45,2132,1759,3,0
4,0,2016,0,1560,622,0,0
4,0,2016,60,360,217,2,0
6,0,2016,10,2079,1393,0,0
6,0,2016,33,2022,1725,1,0
8,0,2016,12,799,482,3,0
7,0,2016,0,1198,811,3,0
8,0,2016,76,1,1,1,1
9,0,2016,1,1374,844,1,0
9,0,2016,66,2052,1402,1,0
9,0,2016,0,158,76,2,0
9,0,2016,86,2644,2474,1,0
9,0,2016,86,846,846,2,0
10,0,2016,9,152,152,0,1
10,0,2016,9,533,525,2,0
10,0,2016,1,5892,4607,0,0
10,0,2016,1,153,153,0,1
11,0,2016,1,447,376,2,0
12,0,2016,9,4017,2383,0,0
12,0,2016,9,1172,817,3,0
12,0,2016,38,261,111,2,0
12,0,2016,19,5856,4366,0,0
13,0,2016,28,924,858,3,0
13,0,2016,58,1721,1423,3,0
13,0,2016,79,2047,1777,3,0
4,0,2016,85,767,679,2,0
4,0,2016,0,277,88,3,0
4,0,2016,19,2141,1979,1,0
4,0,2016,69,4776,4414,0,0
4,0,2016,61,2139,138,3,0
6,0,2016,0,54,54,1,1
7,0,2016,10,2279,1730,1,0
7,0,2016,10,1168,860,3,0
8,0,2016,9,642,397,2,0
9,0,2016,53,3312,2790,1,0
9,0,2016,54,326,224,2,0
9,0,2016,55,4573,3604,0,0
9,0,2016,10,344,156,1,0
9,0,2016,33,910,746,2,0
9,0,2016,0,248,46,3,0
9,0,2016,69,5280,4242,0,0
9,0,2016,69,2411,2190,1,0
10,0,2016,10,2548,1645,0,0
11,0,2016,0,6284,4359,0,0
12,0,2016,80,3322,1938,0,0
12,0,2016,23,4381,2480,1,0
12,0,2016,9,128,128,0,1
12,0,2016,10,746,435,1,0
12,0,2016,70,2041,1841,3,0
12,0,2016,71,1953,1525,3,0
12,0,2016,6,1316,985,3,0
13,0,2016,9,8033,6288,0,0
13,0,2016,38,92,92,0,1
13,0,2016,38,2143,1382,1,0
4,0,2016,45,7242,5566,0,0
4,0,2016,43,879,675,2,0
4,0,2016,85,39,39,0,1
4,0,2016,60,520,321,3,0
6,0,2016,10,950,649,1,0
6,0,2016,10,247,216,2,0
6,0,2016,33,1354,1354,3,0
6,0,2016,0,3401,1430,0,0
7,0,2016,10,476,407,2,0
7,0,2016,0,621,424,2,0
8,0,2016,75,970,802,2,0
8,0,2016,1,641,459,3,0
8,0,2016,2,7,7,1,1
8,0,2016,78,3110,619,0,0
9,0,2016,27,1742,1510,1,0
9,0,2016,1,45,45,0,1
9,0,2016,65,552,353,3,0
9,0,2016,33,2274,1380,0,0
10,0,2016,9,5473,3960,0,0
11,0,2016,10,1130,861,3,0
11,0,2016,0,2225,1697,1,0
12,0,2016,80,1398,1015,3,0
12,0,2016,23,471,471,2,0
12,0,2016,84,6255,5417,0,0
12,0,2016,70,7825,6185,0,0
12,0,2016,33,839,837,2,0
12,0,2016,71,7531,5943,0,0
13,0,2016,1,7832,6274,0,0
13,0,2016,1,521,437,2,0
13,0,2016,28,3671,3526,0,0
13,0,2016,72,943,128,2,0
4,0,2016,48,6220,5606,0,0
4,0,2016,61,5558,3404,0,0
6,0,2016,9,5869,3903,0,0
6,0,2016,1,231,215,2,0
6,0,2016,0,629,302,3,0
8,0,2016,75,2907,1707,1,0
8,0,2016,9,29,29,1,1
8,0,2016,20,1881,1542,3,0
8,0,2016,1,3333,1571,0,0
8,0,2016,2,8,8,0,1
8,0,2016,2,55,21,2,0
8,0,2016,64,7469,5900,0,0
8,0,2016,10,28,28,0,1
8,0,2016,52,1390,883,3,0
8,0,2016,76,632,256,1,0
8,0,2016,0,23,23,0,1
8,0,2016,0,1394,841,0,0
8,0,2016,78,1512,1097,3,0
9,0,2016,55,86,86,0,1
9,0,2016,2,23,7,2,0
9,0,2016,67,503,303,3,0
9,0,2016,19,689,463,2,0
10,0,2016,1,259,235,2,0
11,0,2016,10,5518,3895,0,0
12,0,2016,23,10422,4778,0,0
12,0,2016,9,616,445,2,0
12,0,2016,1,101,79,0,1
12,0,2016,1,1429,1121,1,0
12,0,2016,19,120,32,0,1
12,0,2016,19,2589,2170,1,0
12,0,2016,71,1037,1,2,0
13,0,2016,9,1674,1484,3,0
13,0,2016,2,30,30,1,1
13,0,2016,28,1417,1008,1,0
13,0,2016,58,2723,2162,1,0
13,0,2016,33,3056,2864,1,0
13,0,2016,73,989,344,2,0
4,0,2016,42,389,230,3,0
4,0,2016,47,2639,1561,1,0
4,0,2016,85,3759,2420,0,0
4,0,2016,19,747,290,2,0
4,0,2016,83,3160,3000,1,0
