Academic_Program_Name,Year,min_opening_rank,max_closing_rank
91,2016,80,6969
91,2017,12,7298
91,2018,74,11028
91,2019,806,14907
91,2020,921,15274
91,2021,922,18918
91,2022,872,18033
91,2023,1120,17543
91,2024,1115,19931
92,2016,262,8847
92,2017,1093,9537
92,2018,432,14003
92,2019,1210,15663
92,2020,2274,18437
92,2021,1833,21126
92,2022,1310,21747
92,2023,1396,18670
92,2024,1350,20966
93,2016,41,8712
93,2017,279,9561
93,2018,512,13727
93,2019,1084,18113
93,2020,1772,18555
93,2021,1693,21712
93,2022,1281,21128
93,2023,1383,19129
93,2024,1297,22716
94,2016,19,2127
94,2017,92,2219
94,2018,2,3962
94,2019,97,4504
94,2020,290,5028
94,2021,306,6041
94,2022,322,5362
94,2023,156,5191
94,2024,108,6141
95,2016,114,3290
95,2017,109,3692
95,2018,411,5485
95,2019,342,6744
95,2020,540,8476
95,2021,500,8375
95,2022,535,7867
95,2023,526,10123
95,2024,468,10830
96,2016,169,8275
96,2017,141,8802
96,2018,333,11422
96,2019,1127,15473
96,2020,1547,17290
96,2021,1868,20289
96,2022,1321,20893
96,2023,1271,19246
96,2024,1448,19700
97,2016,252,7921
97,2017,949,8833
97,2018,650,12171
97,2019,998,17199
97,2020,2114,16769
97,2021,1728,20246
97,2022,1289,20023
97,2023,1287,19161
97,2024,1352,22750
98,2016,260,9873
99,2016,116,2401
99,2017,67,2806
99,2018,58,4027
99,2019,125,5572
99,2020,288,5692
99,2021,149,6852
99,2022,67,6289
99,2023,191,5954
99,2024,150,6986
100,2016,163,6385
101,2016,321,6238
102,2016,257,8781
103,2016,18,9805
104,2016,633,6395
104,2017,114,6670
104,2018,728,9048
104,2019,739,12336
104,2020,814,13620
104,2021,697,14925
104,2022,814,14113
104,2023,779,23155
104,2024,869,22410
105,2017,464,5821
105,2018,877,7540
105,2019,656,9433
105,2020,706,10190
105,2021,833,12517
105,2022,854,11359
105,2023,767,15560
106,2017,641,6921
106,2018,656,10671
106,2019,766,15226
106,2020,961,16173
106,2021,1667,19591
106,2022,1025,19294
106,2023,1280,18956
107,2017,1792,9201
107,2018,828,13352
108,2017,550,8874
108,2018,520,12526
108,2019,687,13944
108,2020,844,17709
108,2021,918,20896
108,2022,910,21738
108,2023,1154,22009
109,2017,1035,9379
109,2018,874,13567
109,2019,1070,16346
109,2020,2150,18148
109,2021,2014,21022
109,2022,1459,22135
109,2023,1515,22583
109,2024,1380,23182
110,2017,1046,10826
110,2018,855,15789
110,2019,1117,19954
110,2020,2196,20904
110,2021,2088,23878
110,2022,1318,22526
110,2023,1397,22446
110,2024,1478,24870
111,2017,134,10730
111,2018,157,15272
111,2019,1151,19572
111,2020,1965,19844
111,2021,1892,21890
111,2022,1344,21754
111,2023,1327,21398
111,2024,1241,22879
112,2017,84,6599
112,2018,868,10147
112,2019,753,13434
112,2020,1272,15595
112,2021,985,14495
112,2022,1157,15957
112,2023,1385,12213
112,2024,1256,16996
113,2018,53,4002
113,2019,320,4960
113,2020,128,2898
113,2021,85,6027
113,2022,372,3895
113,2023,245,3173
113,2024,139,4101
114,2018,31,7050
114,2019,457,8834
114,2020,887,8897
114,2021,949,11108
114,2022,715,9590
115,2019,407,6735
115,2020,558,7863
115,2021,530,9619
115,2022,466,9075
115,2023,462,11636
115,2024,378,13283
116,2019,448,7641
116,2020,603,8579
116,2021,648,8090
117,2019,1092,19319
117,2020,1947,19089
117,2021,2191,25255
117,2022,1433,22169
118,2019,65,1601
118,2020,13,1565
118,2021,81,1747
118,2022,82,2316
118,2023,77,2979
118,2024,10,4824
119,2019,1162,19143
119,2020,1875,20939
119,2021,2138,24135
119,2022,1144,19464
119,2023,1330,21738
119,2024,1250,21077
120,2019,550,11371
120,2020,722,12783
120,2021,614,12521
120,2022,611,12123
120,2023,680,14268
120,2024,805,15299
121,2020,158,3526
121,2021,80,3374
121,2022,103,2792
121,2023,100,2752
121,2024,43,3381
122,2020,546,20634
122,2021,607,24862
122,2022,777,23570
122,2023,803,24706
122,2024,598,25778
123,2020,133,9297
123,2021,1383,12534
123,2022,944,12043
123,2023,1301,15025
123,2024,1040,15954
124,2020,372,7807
124,2021,132,8950
124,2022,172,8195
124,2023,119,8245
124,2024,450,9272
125,2020,608,18532
125,2021,524,22203
125,2022,639,23169
125,2023,845,22017
125,2024,901,25079
126,2020,1886,19858
126,2021,1699,23049
126,2022,1165,22092
126,2023,1360,20968
126,2024,1243,23512
127,2020,1318,13982
127,2021,1149,16945
127,2022,1111,15770
127,2023,673,17655
127,2024,1184,17156
128,2020,713,11500
128,2021,81,10828
128,2022,30,9505
128,2023,5,11936
